zipcode,prctForeign,%Uninsured,%vehicle,%foodStamp,%poverty,urban/rural
10518,0.9472259810554804,4.465493910690121,0.0,33.42354533152909,8.5,0
10519,0.0,0.0,0.0,51.82481751824818,2.2,1
10519,0.0,0.0,0.0,51.82481751824818,2.2,0
10520,5.899820270375869,5.899820270375869,1.7895255294697094,40.697038368367586,3.3,1
10520,5.899820270375869,5.899820270375869,1.7895255294697094,40.697038368367586,3.3,0
10522,7.60535359016097,5.995659251220835,1.9213503321960854,33.279073973593775,5.1,1
10523,19.98233605652462,14.683153013910355,1.6686069072564997,30.503422389048357,7.7,1
10524,4.029990627928772,3.7019681349578253,0.45754956786985257,34.06747891283974,7.1,1
10524,4.029990627928772,3.7019681349578253,0.45754956786985257,34.06747891283974,7.1,0
10526,0.657030223390276,0.39421813403416556,2.2222222222222223,40.34165571616295,2.5,1
10526,0.657030223390276,0.39421813403416556,2.2222222222222223,40.34165571616295,2.5,0
10527,0.11961722488038277,1.9138755980861244,0.0,33.014354066985646,3.6,1
10528,18.42185825807439,4.0792897596816164,3.61088211046991,35.12168988213684,6.9,1
10530,9.28125,4.0546875,3.5849606528708833,44.828125,5.4,1
10532,3.407053197848177,2.251444510858737,0.43346337234503685,33.11416616855947,3.9,1
10533,4.664031620553359,1.6337285902503293,0.7508342602892102,34.13702239789196,5.0,1
10535,0.0,0.0,0.0,38.83211678832117,0.0,1
10536,4.213457076566125,2.5707656612529,1.812807881773399,32.10208816705337,2.5,1
10536,4.213457076566125,2.5707656612529,1.812807881773399,32.10208816705337,2.5,0
10537,6.424399740428294,5.4510058403634005,0.0,37.37832576249189,6.6,1
10538,6.543844957530805,1.010886469673406,1.1446012972148036,35.57243689436535,2.9,1
10538,6.543844957530805,1.010886469673406,1.1446012972148036,35.57243689436535,2.9,0
10541,3.8603010883167115,5.619809639376587,1.6289262235208182,32.778430852072354,2.6,1
10541,3.8603010883167115,5.619809639376587,1.6289262235208182,32.778430852072354,2.6,0
10543,14.547304170905392,8.317589497650534,8.772449180974935,36.80182144068207,8.6,1
10543,14.547304170905392,8.317589497650534,8.772449180974935,36.80182144068207,8.6,0
10545,7.633587786259542,28.24427480916031,,0.0,66.4,1
10546,14.584787159804605,0.0,2.595419847328244,32.93789253314724,0.5,1
