,TeenBirthRate,ZipCode,TotalBirths2012-2014,PrematureBirth,LowBirthWeight
363,35.1,12941,38.0,5.3,0.0
364,,12942,12.0,0.0,8.3
365,36.5,12944,130.0,13.1,6.9
366,6.4,12946,119.0,5.0,2.5
367,,12950,25.0,8.0,8.0
368,39.2,12956,57.0,12.3,5.3
369,,12960,21.0,4.8,4.8
370,7.9,12974,27.0,22.2,14.8
371,20.0,12993,27.0,3.7,3.7
372,6.0,12996,38.0,10.5,5.3
373,7.4,12997,15.0,0.0,0.0
375,,12914,62.0,5.2,3.2
376,31.5,12916,107.0,12.1,6.5
377,6.8,12917,63.0,12.7,7.9
378,11.2,12920,69.0,17.4,8.7
379,32.0,12926,76.0,6.7,5.3
380,,12930,19.0,11.8,5.3
381,50.7,12937,63.0,9.5,6.3
382,27.2,12953,316.0,8.5,6.6
383,33.3,12957,60.0,11.7,11.7
384,26.8,12966,110.0,7.3,8.2
385,24.4,12980,25.0,16.0,4.0
386,17.9,12983,185.0,7.0,6.5
387,26.9,12986,154.0,9.1,6.5
388,0.0,12989,27.0,3.7,3.7
389,16.8,13655,129.0,8.6,7.0
391,12.9,12025,140.0,4.3,4.3
392,,12032,23.0,17.4,17.4
393,41.7,12078,809.0,11.1,7.9
394,10.6,12095,316.0,9.5,7.9
395,16.1,12117,58.0,5.2,1.7
396,21.1,12134,83.0,9.6,4.8
397,,13470,24.0,4.3,4.2
399,5.2,14005,52.0,0.0,7.7
400,36.5,14013,70.0,14.3,10.0
401,21.5,14020,750.0,9.3,5.6
402,5.9,14036,119.0,9.2,5.0
403,18.8,14040,46.0,15.2,8.7
404,0.0,14054,47.0,6.4,4.3
405,3.7,14058,58.0,8.6,5.2
406,11.7,14125,124.0,14.5,8.9
407,,14143,38.0,7.9,2.6
408,9.7,14416,90.0,12.2,4.4
409,11.1,14422,73.0,15.1,9.6
410,19.2,14482,281.0,8.9,4.6
411,17.0,14525,83.0,8.4,3.6
413,17.5,12015,82.0,19.5,7.3
414,,12042,16.0,0.0,12.5
415,6.2,12051,98.0,12.2,9.2
416,6.5,12058,38.0,5.3,2.6
417,5.7,12083,100.0,14.0,7.0
418,0.0,12087,30.0,33.3,16.7
419,8.9,12192,39.0,5.1,2.6
420,,12405,19.0,10.5,15.8
421,33.3,12413,101.0,9.9,9.9
422,22.3,12414,316.0,15.8,8.9
423,,12418,19.0,0.0,0.0
424,22.2,12423,32.0,21.9,25.0
425,,12427,24.0,4.2,0.0
426,25.0,12431,40.0,12.5,17.5
427,,12442,22.0,13.6,9.1
428,,12444,17.0,11.8,5.9
429,25.6,12451,37.0,13.5,8.1
430,,12460,14.0,7.1,7.1
431,31.0,12463,51.0,3.9,3.9
432,7.6,12468,29.0,0.0,0.0
433,,12470,20.0,5.0,5.0
434,,12473,22.0,4.5,4.5
435,,12482,21.0,19.0,4.8
436,9.5,12485,14.0,0.0,0.0
437,7.9,12496,23.0,21.7,0.0
439,,12190,12.0,8.3,16.7
440,,12842,20.0,10.0,5.0
441,,12847,15.0,13.3,6.7
442,,13360,10.0,10.0,10.0
444,16.7,13324,52.0,19.2,11.5
445,24.2,13329,112.0,13.4,5.4
446,11.8,13340,228.0,11.4,7.9
447,25.9,13350,326.0,12.6,8.3
448,33.3,13357,416.0,11.3,9.6
449,,13361,35.0,8.8,0.0
450,19.9,13365,270.0,8.6,5.2
451,,13406,23.0,4.3,13.0
452,33.3,13407,160.0,13.1,6.9
453,10.4,13416,60.0,6.7,8.3
454,20.8,13420,23.0,13.0,4.3
455,4.6,13431,75.0,2.7,2.7
456,,13454,27.0,14.8,7.4
457,32.0,13491,118.0,6.0,1.7
459,36.8,13601,2222.0,10.6,7.2
460,10.8,13602,59.0,13.8,13.6
461,107.6,13603,1472.0,7.9,5.0
462,15.2,13605,188.0,10.1,4.8
463,35.5,13606,97.0,7.2,7.2
464,29.2,13607,54.0,15.1,14.8
465,16.4,13608,49.0,12.8,4.1
466,26.7,13612,133.0,12.0,10.5
467,53.6,13616,161.0,12.4,13.0
468,13.3,13618,50.0,20.0,16.0
469,25.7,13619,546.0,10.5,7.7
470,21.5,13622,62.0,5.0,1.6
471,14.3,13624,135.0,11.1,8.9
472,13.9,13634,125.0,13.7,6.4
473,36.0,13637,499.0,9.3,5.2
474,,13638,23.0,4.3,4.3
475,13.3,13650,40.0,5.0,2.5
476,45.8,13656,120.0,3.9,2.5
477,,13659,19.0,15.8,10.5
478,0.0,13661,52.0,14.0,9.6
479,,13665,39.0,12.8,5.1
480,35.7,13673,135.0,7.5,5.2
481,31.7,13679,61.0,8.2,6.6
482,10.1,13682,36.0,11.1,5.6
483,5.1,13685,81.0,7.4,4.9
484,28.2,13691,121.0,9.3,6.6
485,,13693,15.0,13.3,13.3
487,32.3,13325,30.0,16.7,10.0
488,9.8,13327,97.0,4.2,3.1
489,45.5,13343,69.0,7.5,7.2
490,,13345,12.0,8.3,8.3
491,19.8,13367,343.0,8.6,6.7
492,19.0,13368,38.0,13.2,13.2
493,53.6,13433,67.0,9.0,11.9
494,,13473,32.0,6.7,6.3
495,,13489,23.0,4.3,0.0
496,3.8,13620,97.0,7.3,8.2
497,20.1,13626,100.0,8.1,5.0
498,16.1,13648,63.0,11.3,6.3
500,13.1,14414,184.0,10.3,4.3
501,15.6,14423,122.0,8.2,3.3
502,3.5,14435,63.0,6.3,7.9
503,19.4,14437,262.0,11.5,6.1
504,1.1,14454,142.0,9.2,4.2
505,,14462,18.0,5.6,11.1
506,,14480,22.0,4.5,4.5
507,46.7,14481,65.0,10.8,7.7
508,14.7,14485,125.0,9.6,7.2
509,,14486,10.0,10.0,0.0
510,9.3,14487,123.0,9.8,6.5
511,22.6,14510,194.0,10.3,7.2
512,28.4,14517,71.0,11.3,4.2
513,10.6,14533,54.0,9.3,7.4
514,,14545,10.0,0.0,0.0
